14 Apr 2011 00:00:32,581,THIS IS FIRST LINE 75
14 Apr 2011 00:00:33,587,THIS IS FIRST LINE 76
14 Apr 2011 00:00:34,587,THIS IS FIRST LINE 77
14 Apr 2011 00:00:35,587,THIS IS FIRST LINE 78
14 Apr 2011 00:00:36,587,THIS IS FIRST LINE 79
14 Apr 2011 00:00:37,587,THIS IS FIRST LINE 80
14 Apr 2011 00:00:38,599,THIS IS FIRST LINE 81
14 Apr 2011 00:00:39,613,THIS IS FIRST LINE 82
14 Apr 2011 00:00:40,627,THIS IS FIRST LINE 83
14 Apr 2011 00:00:41,641,THIS IS FIRST LINE 84
14 Apr 2011 00:00:42,655,THIS IS FIRST LINE 85
